review_features,hotel_score
Everything nice here Staff is friendly Hotel is perfect  ,10
Very friendly staff nice location and beautiful hotel.  The rooms have wooden floors that receive a lot of noise from adjacent rooms and corridor. Also the airco (serves as heating) isnt quite. Without ear plugs I would not have been able to get a good night sleep. Rooms are also fairly cold.,7.5
Good place well recommended No bad points at all.,9.6
This hotel is located at a beautiful spot in the center of the town. It is a former Watermill. Breakfast is just good. Beds are good. I slept very well. ,8.3
The breakfast was fine and the staff to. Top location ,8
Lovely location.  Staff wr excellent. It was advertised via Booking.com for £80 but with the exchange conversion it was £88.29. Not much but if youre budgeted !!!!! So now how do I account for the extra £8.29,9
the good mix of breads and foods to go on the bread. no kettle in the bedroom,9.6
Have stayed many times now so like the property because of its location and a different feel. Breakfast should be improved and lighting in the bedroom,7.5
Room was very nice in converted old water mill Town was very quiet and not a lot going on.hotel seemed to be shut down at 8.30om.bit like a b and b.,7.9
Style and breakfast Shower in the bath,7.1
Design and service. Simplicity Prezracenost sobe.,9.6
We stay here regularly and every time it is great.  Clean tidy quiet rooms. Comfy beds and good breakfast - what else could anyone ask for? Bar open longer?,9.6
Location very unique. Quiet environment. free parking. Historical building above the river.Breakfast was very nice lots of choice good illy coffee ☕  Staff gave us the smallest room with 2 separate beds..  As a couple this is.. Despite the fact the hotel was 80% empty and possesses great rooms with excellent views.. Missed opportunity to get a  rating..,8
Location of the hotel and the staff treatment Walls between rooms are not enough as you cant sleep if you neighbor is talking due to the voice transfer ,7.5
The place is really extraordinary! Wi-fi signal was poor in my room,8.8
Location is excellent if you are visiting the Werchter rock festival ,7.1
Friendly staff nice environment clean room and very good breakfast. The acoustic isolation between the levels could be better.  In case of noisy neighbours earplugs are recommended.,8
The property is an old water mill with new wings built on. Our room was in the new part but out adjoining bathroom was in the old part a step down. Quirky but with a certain charm. Nice view of the river. Rooms were clean and the beds comfortable. Free parking and a short walk to the town centre. Difficult to find due to the road closures that seem to plague Belgian towns.,8
A historic property with a beautiful setting over a stream ,9.6
